file,RandomForest(before preprocessing),KNN,RandomForest(after preprocessing)
commons-lang-3.5_aggregated.csv,0.8743928990118908,0.8635898601796067,0.7864297460649681
commons-lang-3.6_aggregated.csv,0.9224911349235568,0.91529192520277,0.9224911349235568
commons-lang-3.7_aggregated.csv,1.0,1.0,1.0
commons-math-1.0_aggregated.csv,0.5724303061399008,0.6281606346058504,0.6757457846952011
commons-math-1.1_aggregated.csv,0.563890100305277,0.6584505037855071,0.6626844694307801
commons-math-1.2_aggregated.csv,0.5490823826486901,0.6048016598330287,0.6054448609193135
commons-math-2.0_aggregated.csv,0.6371414384477293,0.6206881163818109,0.6437787945474407
commons-math-2.1_aggregated.csv,0.7725675060993259,0.7994507177993059,0.8182526742196661
commons-math-2.2_aggregated.csv,0.8235743830004116,0.746506007807615,0.7794496042345677
commons-math-3.0_aggregated.csv,0.701250345920652,0.8624877118855636,0.8078071740682887
commons-math-3.1_aggregated.csv,0.5620142850725484,0.6254141087306037,0.7122318775859431
commons-math-3.2_aggregated.csv,0.7359102094712202,0.7311066203618477,0.8152163200946092
commons-math-3.3_aggregated.csv,0.8645085895908724,0.8571666626990739,0.8758053832721142
commons-math-3.4_aggregated.csv,0.9886959667209259,0.9886505136453252,0.9886959667209259
commons-math-3.5_aggregated.csv,1.0,0.9885759981721596,0.9887522411159576
commons-math-3.6_aggregated.csv,-1.0,-1.0,-1.0
commons-net-1.0.0_aggregated.csv,0.7587803936703974,0.8596688184114509,0.8596688184114509
commons-net-1.1.0_aggregated.csv,0.656887973923486,0.8755429439072048,0.8715148400359758
commons-net-1.2.0_aggregated.csv,0.6586748308888934,0.7387328543435663,0.8572118975440446
commons-net-1.3.0_aggregated.csv,0.5710397217217686,0.4199423809431737,0.6270628088386114
commons-net-1.4.0_aggregated.csv,0.6589681893105473,0.6554892053284336,0.6329283649507768
commons-net-2.0_aggregated.csv,0.35023621620889905,0.3333919701507738,0.39690381059232027
commons-net-2.1_aggregated.csv,0.5394676245740075,0.491921552687735,0.6666165502003569
commons-net-2.2_aggregated.csv,0.6250066963089945,0.7486331929868659,0.7728498821658764
commons-net-3.0_aggregated.csv,0.4685954683002436,0.5324762063783602,0.7355974029789359
commons-net-3.1_aggregated.csv,0.7619336588462653,0.6972964791796734,1.0
commons-net-3.2_aggregated.csv,0.7680352586406867,0.6804236669101534,0.8352807947701653
commons-net-3.3_aggregated.csv,0.7258584058666301,0.7672542204568025,0.7092026961064318
commons-net-3.4_aggregated.csv,0.862459228985735,0.8451378825923919,0.9273189788316526
commons-net-3.5_aggregated.csv,0.8643831370117793,0.9286446951790572,0.9286446951790572
commons-net-3.6_aggregated.csv,1.0,1.0,1.0
commons-scxml-0.5_aggregated.csv,0.2480664566026926,0.6103073700618638,0.31861542654674296
commons-scxml-0.6_aggregated.csv,0.2562290814429156,0.2256294526306473,0.4506249141601428
commons-scxml-0.7_aggregated.csv,0.6060924369747899,0.6686969596574837,0.8130940937733633
commons-scxml-0.8_aggregated.csv,0.5343205737170532,0.6927912280079874,0.8189904840711626
commons-scxml-0.9_aggregated.csv,0.6739130434782609,1.0,1.0
commons-validator-1.0_aggregated.csv,-1.0,-1.0,-1.0
commons-validator-1.1.0_aggregated.csv,-1.0,0.4056463595839525,-1.0
commons-validator-1.2.0_aggregated.csv,0.2890152861713473,0.20138426727006525,0.5950597286900182
commons-validator-1.3.0_aggregated.csv,0.3729752325216846,-1.0,0.3188474899530005
commons-validator-1.4.0_aggregated.csv,-1.0,0.2418498862774829,0.3187082708815915
commons-validator-1.5.0_aggregated.csv,-1.0,0.8490907719007017,0.8476770753998477
commons-validator-1.6.0_aggregated.csv,-1.0,1.0,1.0
commons-vfs-1.0_aggregated.csv,-1.0,0.4076297290893295,0.2329684122446133
commons-vfs-2.0_aggregated.csv,-1.0,0.3723431571139197,-1.0
commons-vfs-2.1_aggregated.csv,-1.0,-1.0,-1.0
commons-vfs-2.2_aggregated.csv,-1.0,-1.0,-1.0
deltaspike-0.1_aggregated.csv,1.0,1.0,1.0
deltaspike-0.2_aggregated.csv,0.5310283376126999,0.5652938923791879,0.5683142672134686
deltaspike-0.3_aggregated.csv,0.4368425639753552,0.3961526296115249,0.4718371850095656
deltaspike-0.4_aggregated.csv,0.5710644475667531,0.6593348512971577,0.6371763247473462
deltaspike-0.5_aggregated.csv,0.6270093549677974,0.6610522639801267,0.6647358742774042
deltaspike-0.6_aggregated.csv,0.9027007672368834,0.9017009664760977,0.9330700756308146
deltaspike-0.7_aggregated.csv,0.9043083332719926,0.9035845532565552,0.9043083332719926
deltaspike-1.0.0_aggregated.csv,0.9080030027819892,0.9669660116964788,0.936453623365514
deltaspike-1.1.0_aggregated.csv,0.9396048648281379,0.9394225454141606,0.9687552725477576
deltaspike-1.2.0_aggregated.csv,0.9692243464856879,0.9691192266380236,0.9692243464856879
deltaspike-1.3.0_aggregated.csv,0.9701968498070246,0.9699134560563462,1.0
deltaspike-1.4.0_aggregated.csv,0.8423376077359681,0.9159798351604383,0.9151569999515184
deltaspike-1.5.0_aggregated.csv,0.7846663285130492,0.8459721723057966,0.8471804798532933
deltaspike-1.7.0_aggregated.csv,0.926081064432672,0.9742600344915536,0.9743859020004608
deltaspike-1.8.0_aggregated.csv,0.9281474988144336,0.9268353356063156,0.9276288809012616
eagle-0.3.0_aggregated.csv,-1.0,-1.0,0.6826970748636589
eagle-0.4.0_aggregated.csv,-1.0,0.9250524632757072,0.9284487693188322
eagle-0.5.0_aggregated.csv,-1.0,-1.0,-1.0
giraph-0.1.0_aggregated.csv,-1.0,-1.0,-1.0
giraph-1.0.0_aggregated.csv,-1.0,-0.5054939620812771,-0.01222373132485492
giraph-1.1.0_aggregated.csv,0.6967071057192374,0.7062358125250368,0.745857973706075
gora-0.1_aggregated.csv,0.312903669094407,0.4107000042092857,0.5080918884352403
gora-0.2_aggregated.csv,0.5083233827351268,0.42168674698795183,0.5283575050112015
gora-0.3_aggregated.csv,0.7966446365022878,1.0,0.7942033956439719
gora-0.4_aggregated.csv,0.7358116714629429,0.9183553501739032,0.9183553501739032
gora-0.5_aggregated.csv,0.6539193632116284,0.8097677898821828,0.7703700868766504
gora-0.6_aggregated.csv,0.6685919893949437,0.6989009886084208,0.7592044113751837
gora-0.7_aggregated.csv,-1.0,-1.0,-1.0
gora-0.8_aggregated.csv,-1.0,-1.0,-1.0
jspwiki-1.4.0_aggregated.csv,-1.0,1.0,-1.0
jspwiki-1.5.0_aggregated.csv,1.0,1.0,1.0
jspwiki-1.6.0_aggregated.csv,1.0,1.0,1.0
jspwiki-1.6.0_aggregated.csv,1.0,1.0,1.0
jspwiki-1.7.0_aggregated.csv,1.0,1.0,1.0
jspwiki-1.8.0_aggregated.csv,1.0,-1.0,1.0
jspwiki-2.0.36_aggregated.csv,1.0,1.0,1.0
jspwiki-2.10.0_aggregated.csv,-1.0,-1.0,-1.0
jspwiki-2.2.19_aggregated.csv,1.0,1.0,1.0
jspwiki-2.4.56_aggregated.csv,0.670687029185362,0.8977452835012015,0.7853583748562668
jspwiki-2.6.0_aggregated.csv,-1.0,0.6686583978529064,0.6900922492071527
